会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
セブン銀行,8410,銀行業,プライム（内国株式）,2025-03-31,,Tokyo,283123056640.0,1.26919,156657000000.0,,0.16742,18221000000.0,0.084300004,0.07092,0.18531768870778093,16.577143,1213491000000.0,,,98343000000.0,892852000000.0,120702000000.0,794509000000.0,2.8062320654097896
みずほフィナンシャルグループ,8411,銀行業,プライム（内国株式）,2025-03-31,,Tokyo,12640712654848.0,1.2056813,3645206000000.0,,0.38759997,885433000000.0,0.22700001,0.084680006,0.036856554814174276,15.105605,272796651000000.0,,,22493724000000.0,72483086000000.0,38239994000000.0,49989362000000.0,3.9546316228324314
高知銀行,8416,銀行業,スタンダード（内国株式）,2025-03-31,,Kochi,9281016832.0,0.17792013,21279000000.0,,0.09715,860000000.0,0.018229999,0.00829,0.04395522465695471,,1099334000000.0,,,54464000000.0,95757000000.0,283915000000.0,41293000000.0,4.449189215736141
山口フィナンシャルグループ,8418,銀行業,プライム（内国株式）,2025-03-31,,Shimonoseki,392643051520.0,0.62074775,168207000000.0,,0.31258,35345000000.0,0.19577,0.052600004,0.0476418979089434,17.13628,12371305000000.0,,,971580000000.0,1860262000000.0,2130577000000.0,888682000000.0,2.2633330618222676
芙蓉総合リース,8424,その他金融業,プライム（内国株式）,2025-03-31,,Tokyo,409628639232.0,0.86503446,678395000000.0,64760000000.0,0.09019,45277000000.0,0.07051,0.10104,0.13331828847442329,5.9158416,3035899000000.0,1476083000000.0,2215183000000.0,2803985000000.0,66598000000.0,155675000000.0,-2737387000000.0,-6.682606482623485
みずほリース,8425,その他金融業,プライム（内国株式）,2025-03-31,,Tokyo,374230614016.0,0.9766188,695423000000.0,48966000000.0,0.05303,42038000000.0,0.06043,0.12806,0.0982219108423393,2.3349633,3496568000000.0,1991876000000.0,2542515000000.0,3198669000000.0,68125000000.0,377214000000.0,-3130544000000.0,-8.365280345199539
東京センチュリー,8439,その他金融業,プライム（内国株式）,2025-03-31,,Tokyo,950157508608.0,0.9659471,1368635000000.0,117060000000.0,0.1016,85279000000.0,0.06104,0.08492,0.15039675144229206,10.635683,5685975000000.0,1881062000000.0,3076059000000.0,4933180000000.0,177364000000.0,451367000000.0,-4755816000000.0,-5.005292235144641
ＳＢＩホールディングス,8473,証券、商品先物取引業,プライム（内国株式）,2025-03-31,,Tokyo,2130000084992.0,1.4827518,1443733000000.0,292554000000.0,0.43282002,162120000000.0,0.14479,,0.039279765506207216,15.859323,30349637000000.0,17139761000000.0,19565669000000.0,5721388000000.0,5500548000000.0,7337675000000.0,-220840000000.0,-0.10368074703660374
Ｊトラスト,8508,その他金融業,スタンダード（内国株式）,2024-12-31,,Tokyo,59782197248.0,0.39390352,128170000000.0,6254000000.0,0.08157,6040000000.0,0.0378,0.03596,0.12378912636062173,7.2653723,1093811000000.0,15808000000.0,1009981000000.0,69308000000.0,125327000000.0,190421000000.0,56019000000.0,0.9370515400698843
日本証券金融,8511,その他金融業,プライム（内国株式）,2025-03-31,,Tokyo,155124957184.0,1.1826671,24229000000.0,,0.13033,10375000000.0,0.132,0.06906,0.00975664560503585,,13635244000000.0,,,2929005000000.0,1435297000000.0,640716000000.0,-1493708000000.0,-9.629063092847481
